onset	duration	trial_type	trial_lwpc	response_time	response_accuracy
30.706	2	Con	MC	0.6615	1
36.706	2	InCon	MC	0.8605	0
41.506	2	InCon	PC50	0.6775	1
47.505	2	Con	PC50	0.69	1
52.305	2	Con	PC50	0.721	1
55.904	2	InCon	MC	0.7485	1
60.704	2	Con	MC	0.6335	1
65.503	2	Con	MC	0.643	1
71.503	2	InCon	PC50	1.1815	1
77.502	2	InCon	MC	0.648	1
81.102	2	Con	MC	0.617	1
84.702	2	Con	MC	0.62	1
88.302	2	Con	PC50	1.2285	1
91.901	2	Con	PC50	0.745	1
97.901	2	InCon	PC50	0.6065	1
103.9	2	Con	MC	0.881	1
107.5	2	InCon	PC50	0.706	1
111.1	2	Con	MC	0.639	1
115.913	2	Con	MC	0.671	1
120.712	2	Con	MC	0.7975	1
125.512	2	Con	MC	0.7515	1
130.311	2	InCon	PC50	0.6645	1
133.911	2	InCon	PC50	0.703	1
139.911	2	InCon	MC	0.7685	1
145.91	2	Con	MC	0.709	1
151.909	2	Con	PC50	0.664	1
156.709	2	Con	MC	0.6765	1
161.509	2	Con	MC	0.7305	1
167.508	2	Con	MC	0.647	1
173.508	2	Con	PC50	0.7335	1
177.107	2	InCon	MC	0.827	1
181.907	2	InCon	MC	0.717	1
187.906	2	Con	MC	0.725	1
191.506	2	Con	MC	0.769	1
195.106	2	Con	MC	0.657	1
198.706	2	Con	MC	0.828	1
233.503	2	InCon	MC	0.677	1
237.102	2	Con	MC	0.6495	1
243.102	2	Con	MC	0.77	1
249.101	2	InCon	PC50	0.6375	1
252.701	2	Con	MC	0.693	1
256.301	2	Con	MC	0.73	1
261.1	2	InCon	MC	0.7295	1
264.7	2	Con	MC	0.7485	1
269.499	2	Con	MC	0.601	1
275.512	2	Con	MC	0.675	1
281.512	2	Con	PC50	0.9505	1
286.311	2	Con	MC	0.687	1
291.111	2	Con	MC	0.741	1
295.911	2	Con	MC	0.7285	1
301.91	2	Con	MC	0.7895	1
306.71	2	Con	MC	0.722	1
311.509	2	Con	PC50	0.8055	1
315.109	2	Con	PC50	0.752	1
318.709	2	InCon	PC50	0.8515	1
324.708	2	InCon	PC50	0.738	1
330.708	2	InCon	PC50	0.8175	1
334.307	2	Con	MC	0.7715	1
337.907	2	InCon	MC	0.838	1
342.707	2	Con	MC	0.7225	1
348.706	2	InCon	MC	0.7225	1
353.506	2	Con	PC50	0.8225	1
357.105	2	InCon	PC50	0.658	1
360.705	2	Con	PC50	0.815	1
365.505	2	Con	PC50	0.823	1
371.504	2	Con	MC	0.671	1
376.304	2	Con	MC	0.649	1
381.103	2	InCon	PC50	0.701	1
387.103	2	Con	MC	0.7595	1
393.102	2	Con	MC	0.6695	1
399.102	2	InCon	MC	0.839	1
402.701	2	InCon	MC	0.7035	1
436.312	2	Con	MC	0.594	1
441.112	2	Con	MC	0.6555	1
447.111	2	Con	PC50	0.6025	1
451.911	2	Con	MC	0.6655	1
457.91	2	Con	PC50	0.7395	1
461.51	2	Con	PC50	0.786	1
465.11	2	Con	MC	0.744	1
471.109	2	InCon	PC50	0.7735	1
475.909	2	Con	PC50	0.7215	1
479.508	2	Con	MC	0.7345	1
483.108	2	Con	MC	0.649	1
487.908	2	InCon	PC50	0.69	1
493.907	2	InCon	MC	0.7375	1
499.907	2	InCon	MC	0.7345	1
503.506	2	Con	MC	0.809	1
507.106	2	InCon	MC	0.859	1
510.706	2	Con	MC	0.6225	1
515.505	2	Con	MC	0.6885	1
520.305	2	Con	PC50	0.699	1
523.905	2	Con	MC	0.635	1
528.704	2	Con	MC	0.6395	1
534.704	2	Con	MC	0.646	1
540.703	2	InCon	MC	0.6835	1
546.703	2	Con	MC	0.6725	1
551.502	2	InCon	PC50	0.656	1
555.102	2	InCon	MC	0.6625	1
558.702	2	InCon	MC	0.731	1
564.701	2	Con	MC	0.7295	1
570.701	2	Con	MC	0.6295	1
575.5	2	InCon	PC50	0.689	1
580.3	2	Con	MC	0.6795	1
586.313	2	InCon	PC50	0.6565	1
589.912	2	Con	MC	0.714	1
594.712	2	InCon	PC50	0.611	1
599.511	2	Con	PC50	0.705	1
605.511	2	Con	MC	0.698	1
